naslov,autor,kategorija,izdavac,godina_izdanja,broj_strana,povez,format,opis,cena
TESLA - NEMAČKI,Milovan Matić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",STUDIO BEČKEREK,2023,172,Tvrd,27x28,"Interaktivna fotomonografija Tesla u hronološkom poretku sa preko više od 200 fotografija predstavlja naučnika koji je osvetlio XXI vek. U autorskom tekstu Milovana Matića, istraživača i fizičara, utkana je priča o poreklu, naučnom i privatnom usponu, idejama i pronalascima…",10711.0
TESLA - ENGLESKI,Milovan Matić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",STUDIO BEČKEREK,2023,172,Tvrd,27x28,"Interaktivna fotomonografija Tesla u hronološkom poretku sa preko više od 200 fotografija predstavlja naučnika koji je osvetlio XXI vek. U autorskom tekstu Milovana Matića, istraživača i fizičara, utkana je priča o poreklu, naučnom i privatnom usponu, idejama i pronalascima…",10711.0
TESLA ENGLESKI,Milovan Matić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",STUDIO BEČKEREK,2016,172,Tvrd,28x29,Fotomonografija na engleskom,10711.0
TESLA - FRANCUSKI,Milovan Matić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",STUDIO BEČKEREK,2023,172,Tvrd,27x28,"Interaktivna fotomonografija Tesla u hronološkom poretku sa preko više od 200 fotografija predstavlja naučnika koji je osvetlio XXI vek. U autorskom tekstu Milovana Matića, istraživača i fizičara, utkana je priča o poreklu, naučnom i privatnom usponu, idejama i pronalascima…",10711.0
TESLA RUSKI,Milovan Matić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",STUDIO BEČKEREK,2016,172,Tvrd,28x29,Fotomonografija na ruskom,10711.0
TESLA - SRPSKI,Milovan Matić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",STUDIO BEČKEREK,2023,172,Tvrd,27x28,"Interaktivna fotomonografija Tesla u hronološkom poretku sa preko više od 200 fotografija predstavlja naučnika koji je osvetlio XXI vek. U autorskom tekstu Milovana Matića, istraživača i fizičara, utkana je priča o poreklu, naučnom i privatnom usponu, idejama i pronalascima…",10711.0
БИБЛИ R ВОСЕМЬ ВЕКОВ СЕРБСКОГО ИСКУССТВА,"urednici Episkop remezijanski Stefan,Srđan Ercegan",RELIGIJA I TEOLOGIJA,NARODNO DELO DOO HRAM SVETOG SAVE,2022,319,Tvrd,24x32,"Biblija: osam vekova srpske umetnosti predstavlja prvo izdanje izbora tekstova iz Svetog pisma, ilustrovano remek-delima srpske ikonografije i freskopisa, nastalim tokom osam stotina godina trajanja Srpske crkve. Poglavlja iz Svetoga pisma, u prevodu Đure Daničića, mitropolita crnogorsko-primorskog Amfilohija Radovića i episkopa zahumsko-hercegovačkog Atanasija Jevtića (Stari zavet) i Komisije Svetog arhijerejskog sinoda Srpske pravoslavne crkve (Novi zavet), ukrašena su i dopunjena freskama i ikonama iz velikih pravoslavnih svetinja, poput Studenice, Đurđevih Stupova, Hilandara, Gračanice, Bogorodice LJeviške, Dečana, Krušedola, Novog Hopova, Cetinjskog manastira, Savine, Drače, Bođana i mnogih drugih monaških obitelji, katedralnih i parohijskih hramova i episkopskih rezidencija širom Srbije, Hrvatske, Crne Gore i Bosne i Hercegovine.",10620.0
THE BIBLE: EIGHT CENTURIES OF SERBIAN MEDIEVAL ART,"urednici Episkop remezanijski Stefan,Srđan Ercegan",RELIGIJA I TEOLOGIJA,NARODNO DELO DOO HRAM SVETOG SAVE,2022,319,Tvrd,24x32,"The BIBLE: eight centuries of Serbian medieval art predstavlja prvo izdanje izbora tekstova iz Svetog pisma, ilustrovano remek-delima srpske ikonografije i freskopisa, nastalim tokom osam stotina godina trajanja Srpske crkve. Poglavlja iz Svetoga pisma, u prevodu Đure Daničića, mitropolita crnogorsko-primorskog Amfilohija Radovića i episkopa zahumsko-hercegovačkog Atanasija Jevtića (Stari zavet) i Komisije Svetog arhijerejskog sinoda Srpske pravoslavne crkve (Novi zavet), ukrašena su i dopunjena freskama i ikonama iz velikih pravoslavnih svetinja, poput Studenice, Đurđevih Stupova, Hilandara, Gračanice, Bogorodice LJeviške, Dečana, Krušedola, Novog Hopova, Cetinjskog manastira, Savine, Drače, Bođana i mnogih drugih monaških obitelji, katedralnih i parohijskih hramova i episkopskih rezidencija širom Srbije, Hrvatske, Crne Gore i Bosne i Hercegovine.",10620.0
BOGOLJUB KARIĆ - STRENGTH OF SERBIA izdanje na engleskom jeziku,Prepared by Milomir Marić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",KARIĆ FONDACIJA,2021,610,Tvrd,21x28,"Bogoljub Karić je u najboljim stvaralačkim godinama, Srbija u još jednom pokušaju da dopre do svojih najboljih mogućnosti.",10395.0
HISTORY OF SERBIAN ART XVII - XXI century,Slobodan Maldini,ISTORIJA UMETNOSTI,KNJIGA KOMERC,2018,847,Broš,23x32,The History of Serbian Art from the 18th to the 21th Century by Slobodan Maldini,9900.0
